"","date","month","day","station","zipcode","lat","lon","countInDay","countInMorning","highTemp","lowTemp","weather","winddir","wind","weathersit","temp"
"1","10/21/14",10,21,"板橋",22041,25.013618,121.462302,252,89,25,21,"小雨~陰","暫無實況","小於3級","2",23
"2","7/24/14",7,24,"板橋",22041,25.013618,121.462302,233,93,31,26,"陰~小雨","北風","小於3級","2",28.5
"3","4/15/14",4,15,"板橋",22041,25.013618,121.462302,269,98,28,21,"多雲~晴","暫無實況","小於3級","1",24.5
"4","10/23/14",10,23,"板橋",22041,25.013618,121.462302,313,109,26,21,"陰","暫無實況","小於3級","2",23.5
"5","7/26/14",7,26,"板橋",22041,25.013618,121.462302,326,130,32,26,"晴~多雲","北風","小於3級","1",29
"6","6/19/14",6,19,"板橋",22041,25.013618,121.462302,240,100,32,26,"陰~小雨","北風","小於3級","2",29
"7","1/21/14",1,21,"板橋",22041,25.013618,121.462302,247,86,13,8,"陰~小雨","北風","小於3級","2",10.5
"8","4/14/14",4,14,"板橋",22041,25.013618,121.462302,279,114,25,20,"多雲","北風","小於3級","2",22.5
"9","10/20/14",10,20,"板橋",22041,25.013618,121.462302,238,87,31,22,"晴~小雨","北風","小於3級","1",26.5
"10","12/8/14",12,8,"板橋",22041,25.013618,121.462302,281,94,21,19,"中雨~小雨","暫無實況","小於3級","3",20
"11","6/20/14",6,20,"板橋",22041,25.013618,121.462302,221,96,32,25,"陰~小雨","北風","小於3級","2",28.5
"12","4/16/14",4,16,"板橋",22041,25.013618,121.462302,282,119,29,21,"陰~晴","北風","小於3級","1",25
"13","1/19/14",1,19,"板橋",22041,25.013618,121.462302,315,116,17,11,"多雲~小雨","北風","小於3級","2",14
"14","10/19/14",10,19,"板橋",22041,25.013618,121.462302,336,117,31,22,"晴~小雨","北風","小於3級","1",26.5
"15","3/16/14",3,16,"板橋",22041,25.013618,121.462302,304,133,26,17,"多雲","北風","小於3級","2",21.5
"16","9/19/14",9,19,"板橋",22041,25.013618,121.462302,275,100,30,27,"陰~暴雨","暫無實況","小於3級~3-4級","2",28.5
"17","4/18/14",4,18,"板橋",22041,25.013618,121.462302,309,106,28,22,"陰","北風","小於3級","2",25
"18","9/17/14",9,17,"板橋",22041,25.013618,121.462302,256,98,33,27,"多雲","暫無實況","小於3級","2",30
"19","12/11/14",12,11,"板橋",22041,25.013618,121.462302,308,99,16,14,"小雨","暫無實況","小於3級","3",15
"20","7/23/14",7,23,"板橋",22041,25.013618,121.462302,97,16,33,27,"小雨","北風","小於3級","3",30
"21","12/10/14",12,10,"板橋",22041,25.013618,121.462302,343,108,20,18,"中雨","暫無實況","小於3級","3",19
"22","7/25/14",7,25,"板橋",22041,25.013618,121.462302,245,104,32,26,"晴~多雲","北風","小於3級","1",29
"23","12/9/14",12,9,"板橋",22041,25.013618,121.462302,288,112,23,18,"小雨","暫無實況","小於3級","3",20.5
"24","9/18/14",9,18,"板橋",22041,25.013618,121.462302,226,82,32,27,"小雨","暫無實況","小於3級","3",29.5
"25","3/21/14",3,21,"板橋",22041,25.013618,121.462302,273,97,20,13,"多雲","北風","小於3級","2",16.5
"26","12/7/14",12,7,"板橋",22041,25.013618,121.462302,489,130,20,16,"小雨","暫無實況","小於3級","3",18
"27","7/22/14",7,22,"板橋",22041,25.013618,121.462302,185,79,33,27,"暴雨","暫無實況","3-4級","3",30
"28","1/24/14",1,24,"板橋",22041,25.013618,121.462302,269,113,21,11,"晴","西風","小於3級","1",16
"29","1/22/14",1,22,"板橋",22041,25.013618,121.462302,230,83,17,7,"陰~多雲","北風","小於3級","2",12
"30","3/22/14",3,22,"板橋",22041,25.013618,121.462302,286,124,20,17,"多雲","北風","小於3級","2",18.5
"31","9/20/14",9,20,"板橋",22041,25.013618,121.462302,391,122,30,27,"陰~暴雨","暫無實況","小於3級~3-4級","2",28.5
"32","7/21/14",7,21,"板橋",22041,25.013618,121.462302,256,86,33,27,"暴雨","北風","3-4級","3",30
"33","3/20/14",3,20,"板橋",22041,25.013618,121.462302,267,102,16,12,"小雨","暫無實況","小於3級","3",14
"34","1/20/14",1,20,"板橋",22041,25.013618,121.462302,291,94,19,9,"小雨","北風","小於3級","3",14
"35","6/21/14",6,21,"板橋",22041,25.013618,121.462302,220,96,31,25,"小雨~大雨","西南風","小於3級","3",28
"36","9/14/14",9,14,"板橋",22041,25.013618,121.462302,226,102,34,30,"多雲","暫無實況","4-5級","2",32
"37","12/13/14",12,13,"板橋",22041,25.013618,121.462302,688,133,19,16,"陰","暫無實況","小於3級","2",17.5
"38","12/12/14",12,12,"板橋",22041,25.013618,121.462302,318,111,15,12,"小雨~陰","暫無實況","小於3級","2",13.5
"39","3/17/14",3,17,"板橋",22041,25.013618,121.462302,235,83,26,19,"陰~多雲","北風","小於3級","2",22.5
"40","1/25/14",1,25,"板橋",22041,25.013618,121.462302,259,89,16,12,"陰~小雨","西風","小於3級","2",14
"41","1/23/14",1,23,"板橋",22041,25.013618,121.462302,291,130,21,9,"晴","西風","小於3級","1",15
"42","10/22/14",10,22,"板橋",22041,25.013618,121.462302,265,110,26,21,"陰","暫無實況","小於3級","2",23.5
"43","10/24/14",10,24,"板橋",22041,25.013618,121.462302,288,99,28,23,"陰","東北風","小於3級","2",25.5
"44","3/19/14",3,19,"板橋",22041,25.013618,121.462302,269,101,24,12,"小雨","西南風","小於3級","3",18
"45","4/17/14",4,17,"板橋",22041,25.013618,121.462302,261,108,30,21,"陰","北風","小於3級","2",25.5
"46","4/13/14",4,13,"板橋",22041,25.013618,121.462302,310,136,23,20,"小雨","北風","小於3級","3",21.5
"47","9/15/14",9,15,"板橋",22041,25.013618,121.462302,273,89,34,28,"晴~多雲","暫無實況","小於3級","1",31
"48","9/16/14",9,16,"板橋",22041,25.013618,121.462302,241,101,33,28,"晴~陰","暫無實況","小於3級","1",30.5
"49","6/18/14",6,18,"板橋",22041,25.013618,121.462302,220,75,32,25,"陰~中雨","北風","小於3級","2",28.5
"50","3/18/14",3,18,"板橋",22041,25.013618,121.462302,295,110,28,15,"多雲~小雨","北風","小於3級","2",21.5
"51","4/19/14",4,19,"板橋",22041,25.013618,121.462302,398,95,28,20,"小雨","北風","小於3級","3",24
"52","6/16/14",6,16,"板橋",22041,25.013618,121.462302,248,88,33,26,"小雨","北風","小於3級","3",29.5
"53","7/20/14",7,20,"板橋",22041,25.013618,121.462302,266,122,33,26,"晴~多雲","暫無實況","小於3級","1",29.5
"54","6/17/14",6,17,"板橋",22041,25.013618,121.462302,235,75,33,28,"陰~小雨","西風","小於3級","2",30.5
"55","10/25/14",10,25,"板橋",22041,25.013618,121.462302,382,136,28,23,"陰","東北風","小於3級","2",25.5
"56","6/15/14",6,15,"板橋",22041,25.013618,121.462302,250,118,33,26,"小雨","北風","小於3級","3",29.5
"57","12/9/14",12,9,"北門",10341,25.049554,121.510184,267,77,23,18,"小雨","暫無實況","小於3級","3",20.5
"58","12/10/14",12,10,"北門",10341,25.049554,121.510184,318,102,20,18,"中雨","暫無實況","小於3級","3",19
"59","12/8/14",12,8,"北門",10341,25.049554,121.510184,229,87,21,19,"中雨~小雨","暫無實況","小於3級","3",20
"60","12/11/14",12,11,"北門",10341,25.049554,121.510184,279,95,16,14,"小雨","暫無實況","小於3級","3",15
"61","12/12/14",12,12,"北門",10341,25.049554,121.510184,289,85,15,12,"小雨~陰","暫無實況","小於3級","2",13.5
"62","12/13/14",12,13,"北門",10341,25.049554,121.510184,309,66,19,16,"陰","暫無實況","小於3級","2",17.5
"63","12/7/14",12,7,"北門",10341,25.049554,121.510184,329,78,20,16,"小雨","暫無實況","小於3級","3",18
"64","4/15/14",4,15,"北投",11246,25.131841,121.498633,1157,430,28,21,"多雲~晴","暫無實況","小於3級","1",24.5
"65","12/13/14",12,13,"北投",11246,25.131841,121.498633,1065,308,19,16,"陰","暫無實況","小於3級","2",17.5
"66","4/16/14",4,16,"北投",11246,25.131841,121.498633,1101,320,29,21,"陰~晴","北風","小於3級","1",25
"67","9/17/14",9,17,"北投",11246,25.131841,121.498633,1000,329,33,27,"多雲","暫無實況","小於3級","2",30
"68","1/24/14",1,24,"北投",11246,25.131841,121.498633,1007,308,21,11,"晴","西風","小於3級","1",16
"69","9/14/14",9,14,"北投",11246,25.131841,121.498633,840,285,34,30,"多雲","暫無實況","4-5級","2",32
"70","7/22/14",7,22,"北投",11246,25.131841,121.498633,808,291,33,27,"暴雨","暫無實況","3-4級","3",30
"71","6/16/14",6,16,"北投",11246,25.131841,121.498633,911,253,33,26,"小雨","北風","小於3級","3",29.5
"72","6/20/14",6,20,"北投",11246,25.131841,121.498633,982,310,32,25,"陰~小雨","北風","小於3級","2",28.5
"73","7/20/14",7,20,"北投",11246,25.131841,121.498633,815,249,33,26,"晴~多雲","暫無實況","小於3級","1",29.5
"74","7/23/14",7,23,"北投",11246,25.131841,121.498633,269,56,33,27,"小雨","北風","小於3級","3",30
"75","1/23/14",1,23,"北投",11246,25.131841,121.498633,1093,337,21,9,"晴","西風","小於3級","1",15
"76","12/8/14",12,8,"北投",11246,25.131841,121.498633,982,288,21,19,"中雨~小雨","暫無實況","小於3級","3",20
"77","3/16/14",3,16,"北投",11246,25.131841,121.498633,1086,313,26,17,"多雲","北風","小於3級","2",21.5
"78","7/24/14",7,24,"北投",11246,25.131841,121.498633,954,251,31,26,"陰~小雨","北風","小於3級","2",28.5
"79","10/19/14",10,19,"北投",11246,25.131841,121.498633,1068,380,31,22,"晴~小雨","北風","小於3級","1",26.5
"80","3/22/14",3,22,"北投",11246,25.131841,121.498633,1041,354,20,17,"多雲","北風","小於3級","2",18.5
"81","7/25/14",7,25,"北投",11246,25.131841,121.498633,939,295,32,26,"晴~多雲","北風","小於3級","1",29
"82","12/11/14",12,11,"北投",11246,25.131841,121.498633,1168,323,16,14,"小雨","暫無實況","小於3級","3",15
"83","4/17/14",4,17,"北投",11246,25.131841,121.498633,1042,320,30,21,"陰","北風","小於3級","2",25.5
"84","1/25/14",1,25,"北投",11246,25.131841,121.498633,1027,356,16,12,"陰~小雨","西風","小於3級","2",14
"85","12/9/14",12,9,"北投",11246,25.131841,121.498633,1136,334,23,18,"小雨","暫無實況","小於3級","3",20.5
"86","7/21/14",7,21,"北投",11246,25.131841,121.498633,942,284,33,27,"暴雨","北風","3-4級","3",30
"87","6/18/14",6,18,"北投",11246,25.131841,121.498633,961,275,32,25,"陰~中雨","北風","小於3級","2",28.5
"88","7/26/14",7,26,"北投",11246,25.131841,121.498633,967,330,32,26,"晴~多雲","北風","小於3級","1",29
"89","10/25/14",10,25,"北投",11246,25.131841,121.498633,1092,326,28,23,"陰","東北風","小於3級","2",25.5
"90","4/19/14",4,19,"北投",11246,25.131841,121.498633,1003,326,28,20,"小雨","北風","小於3級","3",24
"91","6/17/14",6,17,"北投",11246,25.131841,121.498633,998,313,33,28,"陰~小雨","西風","小於3級","2",30.5
"92","12/10/14",12,10,"北投",11246,25.131841,121.498633,1128,345,20,18,"中雨","暫無實況","小於3級","3",19
"93","6/21/14",6,21,"北投",11246,25.131841,121.498633,884,281,31,25,"小雨~大雨","西南風","小於3級","3",28
"94","1/20/14",1,20,"北投",11246,25.131841,121.498633,1009,308,19,9,"小雨","北風","小於3級","3",14
"95","4/13/14",4,13,"北投",11246,25.131841,121.498633,976,309,23,20,"小雨","北風","小於3級","3",21.5
"96","3/21/14",3,21,"北投",11246,25.131841,121.498633,1070,312,20,13,"多雲","北風","小於3級","2",16.5
"97","1/21/14",1,21,"北投",11246,25.131841,121.498633,994,332,13,8,"陰~小雨","北風","小於3級","2",10.5
"98","12/7/14",12,7,"北投",11246,25.131841,121.498633,1084,339,20,16,"小雨","暫無實況","小於3級","3",18
"99","3/20/14",3,20,"北投",11246,25.131841,121.498633,985,301,16,12,"小雨","暫無實況","小於3級","3",14
"100","6/19/14",6,19,"北投",11246,25.131841,121.498633,964,286,32,26,"陰~小雨","北風","小於3級","2",29
"101","9/16/14",9,16,"北投",11246,25.131841,121.498633,1057,334,33,28,"晴~陰","暫無實況","小於3級","1",30.5
